Date first seen          Duration Proto      Src IP Addr:Port          Dst IP Addr:Port     Flags Tos  Packets    Bytes      pps      bps    Bpp Flows
2022-05-02 01:10:51.877     0.002 UDP      192.168.209.1:5353  ->      224.0.0.251:5353  ........   0        4      344     2000    1.4 M     86     1
2022-05-02 01:56:24.834     0.002 UDP      192.168.209.1:5353  ->      224.0.0.251:5353  ........   0        4      344     2000    1.4 M     86     1
2022-05-02 01:56:24.834     0.002 UDP      192.168.209.1:5353  ->      224.0.0.251:5353  ........   0        4      344     2000    1.4 M     86     1
2022-05-02 01:25:29.996     0.002 UDP      192.168.209.1:5353  ->      224.0.0.251:5353  ........   0        4      344     2000    1.4 M     86     1
2022-05-02 01:25:29.996     0.002 UDP      192.168.209.1:5353  ->      224.0.0.251:5353  ........   0        4      344     2000    1.4 M     86     1
2022-05-02 01:01:16.389     0.002 UDP      192.168.209.1:5353  ->      224.0.0.251:5353  ........   0        4      344     2000    1.4 M     86     1
2022-05-02 01:01:16.389     0.002 UDP      192.168.209.1:5353  ->      224.0.0.251:5353  ........   0        4      344     2000    1.4 M     86     1
2022-05-02 01:29:35.997     0.002 UDP      192.168.209.1:5353  ->      224.0.0.251:5353  ........   0        4      344     2000    1.4 M     86     1
2022-05-02 01:29:35.997     0.002 UDP      192.168.209.1:5353  ->      224.0.0.251:5353  ........   0        4      344     2000    1.4 M     86     1
2022-05-02 01:40:31.500     0.002 UDP      192.168.209.1:5353  ->      224.0.0.251:5353  ........   0        4      344     2000    1.4 M     86     1
2022-05-02 01:40:31.500     0.002 UDP      192.168.209.1:5353  ->      224.0.0.251:5353  ........   0        4      344     2000    1.4 M     86     1
2022-05-02 01:54:13.509     0.002 UDP      192.168.209.1:5353  ->      224.0.0.251:5353  ........   0        4      344     2000    1.4 M     86     1
2022-05-02 01:27:53.731     0.054 TCP     104.244.42.130:443   ->         10.0.0.1:38318 ........   0       24     8850      444    1.3 M    368     1
2022-05-02 01:13:11.172     0.946 TCP     104.244.42.129:443   ->         10.0.0.1:48596 ........   0      114   136726      120    1.2 M   1199     1
2022-05-02 01:02:02.103     1.458 UDP         10.0.0.254:50487 ->         10.0.0.1:9000  ........   0      157   208395      107    1.1 M   1327     1
